Indicator,Values,State,LGA,Months,Year
075. Men A Vaccine -  Opening Balance,900,Adamawa,State level data,Dec,2020
075. Men A Vaccine -  Opening Balance,410,Katsina,State level data,Nov,2020
075. Men A Vaccine -  Opening Balance,580,Katsina,State level data,Dec,2020
075. Men A Vaccine -  Opening Balance,742,Adamawa,State level data,Nov,2020
075. Men A Vaccine -  Opening Balance,110,Bauchi,State level data,Oct,2020
075. Men A Vaccine -  Opening Balance,990,Bauchi,State level data,Nov,2020
075. Men A Vaccine -  Opening Balance,2300,Bauchi,State level data,Dec,2020
075. Men A Vaccine -  Opening Balance,180,Delta,State level data,Dec,2020
075. Men A Vaccine -  Opening Balance,60,Kwara,State level data,Sep,2020
075. Men A Vaccine -  Opening Balance,6310,Federal Capital Territory,State level data,Nov,2020
075. Men A Vaccine -  Opening Balance,10,Taraba,State level data,Nov,2020
075. Men A Vaccine -  Opening Balance,760,Taraba,State level data,Dec,2020
075. Men A Vaccine -  Opening Balance,7570,Federal Capital Territory,State level data,Dec,2020
075. Men A Vaccine -  Opening Balance,440,Delta,State level data,Nov,2020
075. Men A Vaccine -  Opening Balance,640,Delta,State level data,Oct,2020
075. Men A Vaccine -  Opening Balance,240,Anambra,State level data,Nov,2020
075. Men A Vaccine -  Opening Balance,240,Anambra,State level data,Dec,2020
075. Men A Vaccine -  Opening Balance,190,Niger,State level data,Dec,2020
075. Men A Vaccine -  Opening Balance,400,Federal Government,State level data,Sep,2020
075. Men A Vaccine -  Opening Balance,3130,Borno,State level data,Nov,2020
075. Men A Vaccine -  Opening Balance,8200,Borno,State level data,Dec,2020
075. Men A Vaccine -  Opening Balance,10,Cross River,State level data,Nov,2020
075. Men A Vaccine -  Opening Balance,630,Yobe,State level data,Nov,2020
075. Men A Vaccine -  Opening Balance,80,Nasarawa,State level data,Oct,2020
075. Men A Vaccine -  Opening Balance,1250,Nasarawa,State level data,Nov,2020
075. Men A Vaccine -  Opening Balance,260,Nasarawa,State level data,Dec,2020
075. Men A Vaccine -  Opening Balance,4380,Kano,State level data,Dec,2020
075. Men A Vaccine -  Opening Balance,1030,Kano,State level data,Nov,2020
075. Men A Vaccine -  Opening Balance,160,Jigawa,State level data,Nov,2020
075. Men A Vaccine -  Opening Balance,2360,Yobe,State level data,Dec,2020
075. Men A Vaccine -  Opening Balance,70,Jigawa,State level data,Dec,2020
075. Men A Vaccine -  Opening Balance,19142,Federal Government,State level data,Nov,2020
075. Men A Vaccine -  Opening Balance,32410,Federal Government,State level data,Dec,2020
075. Men A Vaccine -  Opening Balance,930,Federal Government,State level data,Oct,2020
075. Men A Vaccine -  Opening Balance,2080,Kaduna,State level data,Nov,2020
075. Men A Vaccine -  Opening Balance,910,Oyo,State level data,Dec,2020
075. Men A Vaccine -  Opening Balance,410,Oyo,State level data,Nov,2020
075. Men A Vaccine -  Opening Balance,1100,Kaduna,State level data,Dec,2020
075. Men A Vaccine -  Opening Balance,70,Osun,State level data,Nov,2020
075. Men A Vaccine -  Opening Balance,410,Osun,State level data,Dec,2020
075. Men A Vaccine -  Opening Balance,30,Gombe,State level data,Nov,2020
075. Men A Vaccine -  Opening Balance,40,Imo,State level data,Oct,2020
075. Men A Vaccine -  Opening Balance,280,Imo,State level data,Nov,2020
075. Men A Vaccine -  Opening Balance,280,Imo,State level data,Dec,2020
075. Men A Vaccine -  Opening Balance,1040,Edo,State level data,Dec,2020
075. Men A Vaccine -  Opening Balance,60,Kwara,State level data,Oct,2020
075. Men A Vaccine -  Opening Balance,920,Kwara,State level data,Nov,2020
075. Men A Vaccine -  Opening Balance,540,Kwara,State level data,Dec,2020
075. Men A Vaccine -  Opening Balance,340,Bauchi,State level data,Sep,2020
075. Men A Vaccine -  Opening Balance,140,Enugu,State level data,Dec,2020
